Asset No	Capitalized On	Asset Description	S/N	Barcode Name
310110-0	30/06/2021	Handy Talky Motorola CP1660UHF (2)	1335VP3520	310110-0 / Handy Talky Motorola CP1660UHF (2)
310111-0	30/06/2021	Handy Talky Motorola CP1660UHF (3)	1335VN1123	310111-0 / Handy Talky Motorola CP1660UHF (3)
310112-0	30/06/2021	Handy Talky Motorola CP1660UHF (4)	1335VP3621	310112-0 / Handy Talky Motorola CP1660UHF (4)
310113-0	30/06/2021	Handy Talky Motorola CP1660UHF (5)	1335VN1312	310113-0 / Handy Talky Motorola CP1660UHF (5)
310114-0	30/06/2021	Handy Talky Motorola CP1660UHF (6)	1335VN1347	310114-0 / Handy Talky Motorola CP1660UHF (6)
310115-0	30/06/2021	Handy Talky Motorola CP1660UHF (7)	1335VN1163	310115-0 / Handy Talky Motorola CP1660UHF (7)
310116-0	30/06/2021	Handy Talky Motorola CP1660UHF (8)	1335VP3629	310116-0 / Handy Talky Motorola CP1660UHF (8)
310117-0	30/06/2021	Handy Talky Motorola CP1660UHF (9)	1335VP3517	310117-0 / Handy Talky Motorola CP1660UHF (9)
310118-0	30/06/2021	Handy Talky Motorola CP1660UHF (10)	1335VN1336	310118-0 / Handy Talky Motorola CP1660UHF (10)
310119-0	30/06/2021	Handy Talky Motorola CP1660UHF (11)	1335VN1331	310119-0 / Handy Talky Motorola CP1660UHF (11)
310120-0	30/06/2021	Handy Talky Motorola CP1660UHF (12)	1335VP3649	310120-0 / Handy Talky Motorola CP1660UHF (12)
310121-0	30/06/2021	Handy Talky Motorola CP1660UHF (13)	1335VP3394	310121-0 / Handy Talky Motorola CP1660UHF (13)
310122-0	30/06/2021	Handy Talky Motorola CP1660UHF (14)	1335VP3262	310122-0 / Handy Talky Motorola CP1660UHF (14)
310123-0	30/06/2021	Handy Talky Motorola CP1660UHF (15)	1335VP3136	310123-0 / Handy Talky Motorola CP1660UHF (15)
310124-0	30/06/2021	Handy Talky Motorola CP1660UHF (16)	1335VP3650	310124-0 / Handy Talky Motorola CP1660UHF (16)
310125-0	30/06/2021	Handy Talky Motorola CP1660UHF (17)	1335VP3655	310125-0 / Handy Talky Motorola CP1660UHF (17)
310126-0	30/06/2021	Handy Talky Motorola CP1660UHF (18)	1335VP3613	310126-0 / Handy Talky Motorola CP1660UHF (18)
310127-0	30/06/2021	Handy Talky Motorola CP1660UHF (19)	1335VP3227	310127-0 / Handy Talky Motorola CP1660UHF (19)
310128-0	30/06/2021	Handy Talky Motorola CP1660UHF (20)	1335VN1362	310128-0 / Handy Talky Motorola CP1660UHF (20)
310129-0	30/06/2021	Handy Talky Motorola CP1660UHF (21)	1335VP3533	310129-0 / Handy Talky Motorola CP1660UHF (21)
310130-0	30/06/2021	Handy Talky Motorola CP1660UHF (22)	1335VP2985	310130-0 / Handy Talky Motorola CP1660UHF (22)
310131-0	30/06/2021	Handy Talky Motorola CP1660UHF (23)	1335VN1295	310131-0 / Handy Talky Motorola CP1660UHF (23)
310132-0	30/06/2021	Handy Talky Motorola CP1660UHF (24)	1335VP3389	310132-0 / Handy Talky Motorola CP1660UHF (24)
310133-0	30/06/2021	Handy Talky Motorola CP1660UHF (25)	1335VP3401	310133-0 / Handy Talky Motorola CP1660UHF (25)
310134-0	30/06/2021	Handy Talky Motorola CP1660UHF (26)	1335VP3380	310134-0 / Handy Talky Motorola CP1660UHF (26)
310135-0	30/06/2021	Handy Talky Motorola CP1660UHF (27)	1335VP3506	310135-0 / Handy Talky Motorola CP1660UHF (27)
310136-0	30/06/2021	Handy Talky Motorola CP1660UHF (28)	1335VP3391	310136-0 / Handy Talky Motorola CP1660UHF (28)
310137-0	30/06/2021	Handy Talky Motorola CP1660UHF (29)	1335VP2934	310137-0 / Handy Talky Motorola CP1660UHF (29)
310138-0	30/06/2021	Handy Talky Motorola CP1660UHF (30)	1335VP2975	310138-0 / Handy Talky Motorola CP1660UHF (30)
310139-0	30/06/2021	Handy Talky Motorola CP1660UHF (31)	1335VN1374	310139-0 / Handy Talky Motorola CP1660UHF (31)
310140-0	30/06/2021	Handy Talky Motorola CP1660UHF (32)	1335VP3406	310140-0 / Handy Talky Motorola CP1660UHF (32)
310141-0	30/06/2021	Handy Talky Motorola CP1660UHF (33)	1335VP2348	310141-0 / Handy Talky Motorola CP1660UHF (33)
310142-0	30/06/2021	Handy Talky Motorola CP1660UHF (34)	1335VP3351	310142-0 / Handy Talky Motorola CP1660UHF (34)
310143-0	30/06/2021	Handy Talky Motorola CP1660UHF (35)	1335VP3454	310143-0 / Handy Talky Motorola CP1660UHF (35)
310144-0	30/06/2021	Handy Talky Motorola CP1660UHF (36)	1335VP2382	310144-0 / Handy Talky Motorola CP1660UHF (36)
310145-0	30/06/2021	Handy Talky Motorola CP1660UHF (37)	1335VP3400	310145-0 / Handy Talky Motorola CP1660UHF (37)
310146-0	30/06/2021	Handy Talky Motorola CP1660UHF (38)	1335VP2372	310146-0 / Handy Talky Motorola CP1660UHF (38)
310147-0	30/06/2021	Handy Talky Motorola CP1660UHF (39)	1335VP3849	310147-0 / Handy Talky Motorola CP1660UHF (39)
310148-0	30/06/2021	Handy Talky Motorola CP1660UHF (40)	1335VP3840	310148-0 / Handy Talky Motorola CP1660UHF (40)
310149-0	30/06/2021	Handy Talky Motorola CP1660UHF (41)	1335VP3836	310149-0 / Handy Talky Motorola CP1660UHF (41)
310150-0	30/06/2021	Handy Talky Motorola CP1660UHF (42)	1335VP3626	310150-0 / Handy Talky Motorola CP1660UHF (42)
310151-0	30/06/2021	Handy Talky Motorola CP1660UHF (43)	1335VP3430	310151-0 / Handy Talky Motorola CP1660UHF (43)
310152-0	30/06/2021	Handy Talky Motorola CP1660UHF (44)	1335VP3418	310152-0 / Handy Talky Motorola CP1660UHF (44)
310153-0	30/06/2021	Handy Talky Motorola CP1660UHF (45)	1335VP3460	310153-0 / Handy Talky Motorola CP1660UHF (45)
310154-0	30/06/2021	Handy Talky Motorola CP1660UHF (46)	1335VP2365	310154-0 / Handy Talky Motorola CP1660UHF (46)
310155-0	30/06/2021	Handy Talky Motorola CP1660UHF (47)	1335VP2247	310155-0 / Handy Talky Motorola CP1660UHF (47)
310156-0	30/06/2021	Handy Talky Motorola CP1660UHF (48)	1335VP3843	310156-0 / Handy Talky Motorola CP1660UHF (48)
310157-0	30/06/2021	Handy Talky Motorola CP1660UHF (49)	1335VP2907	310157-0 / Handy Talky Motorola CP1660UHF (49)
310158-0	30/06/2021	Handy Talky Motorola CP1660UHF (50)	1335VP3822	310158-0 / Handy Talky Motorola CP1660UHF (50)
310159-0	30/06/2021	Handy Talky Motorola CP1660UHF (51)	1335VP2884	310159-0 / Handy Talky Motorola CP1660UHF (51)
310160-0	30/06/2021	Handy Talky Motorola CP1660UHF (52)	1335VP2986	310160-0 / Handy Talky Motorola CP1660UHF (52)
310161-0	30/06/2021	Handy Talky Motorola CP1660UHF (53)	1335VP2835	310161-0 / Handy Talky Motorola CP1660UHF (53)
310162-0	30/06/2021	Handy Talky Motorola CP1660UHF (54)	1335VN1113	310162-0 / Handy Talky Motorola CP1660UHF (54)
310163-0	30/06/2021	Handy Talky Motorola CP1660UHF (55)	1335VP3627	310163-0 / Handy Talky Motorola CP1660UHF (55)
310164-0	30/06/2021	Handy Talky Motorola CP1660UHF (56)	1335VP3109	310164-0 / Handy Talky Motorola CP1660UHF (56)
310165-0	30/06/2021	Handy Talky Motorola CP1660UHF (57)	1335VP2808	310165-0 / Handy Talky Motorola CP1660UHF (57)
310166-0	30/06/2021	Handy Talky Motorola CP1660UHF (58)	1335VP2923	310166-0 / Handy Talky Motorola CP1660UHF (58)
310167-0	30/06/2021	Handy Talky Motorola CP1660UHF (59)	1335VP3111	310167-0 / Handy Talky Motorola CP1660UHF (59)
310168-0	30/06/2021	Handy Talky Motorola CP1660UHF (60)	1335VP2950	310168-0 / Handy Talky Motorola CP1660UHF (60)
310169-0	30/06/2021	Handy Talky Motorola CP1660UHF (61)	1335VP2970	310169-0 / Handy Talky Motorola CP1660UHF (61)
310170-0	30/06/2021	Handy Talky Motorola CP1660UHF (62)	1335VP3110	310170-0 / Handy Talky Motorola CP1660UHF (62)
310171-0	30/06/2021	Handy Talky Motorola CP1660UHF (63)	1335VP3451	310171-0 / Handy Talky Motorola CP1660UHF (63)
310172-0	30/06/2021	Handy Talky Motorola CP1660UHF (64)	1335VP3823	310172-0 / Handy Talky Motorola CP1660UHF (64)
310173-0	31/07/2021	Krisbow Parts Cabinet 32	-	310173-0 / Krisbow Parts Cabinet 32
310174-0	31/07/2021	Krisbow Parts Cabinet 40 	-	310174-0 / Krisbow Parts Cabinet 40 
310175-0	31/07/2021	Krisbow Tool Cabinet 40	-	310175-0 / Krisbow Tool Cabinet 40
310176-0	31/07/2021	Krisbow Work Table 4 Drawer (1)	-	310176-0 / Krisbow Work Table 4 Drawer (1)
310177-0	31/07/2021	Krisbow Work Table 4 Drawer (2)	-	310177-0 / Krisbow Work Table 4 Drawer (2)
310178-0	31/07/2021	Krisbow Work Table 4 Drawer (3)	-	310178-0 / Krisbow Work Table 4 Drawer (3)
310179-0	31/07/2021	Brother Label Printer PT-P950NW (1 UN)	199140E76570J0Z199140	310179-0 / Brother Label Printer PT-P950NW (1 UN)
310180-0	31/07/2021	Tool Drawer 6D (1)	-	310180-0 / Tool Drawer 6D (1)
310181-0	31/07/2021	Tool Drawer 6D (2)	-	310181-0 / Tool Drawer 6D (2)
310182-0	31/07/2021	Tool Drawer 7D (1)	-	310182-0 / Tool Drawer 7D (1)
310183-0	31/07/2021	Tool Drawer 7D (2)	-	310183-0 / Tool Drawer 7D (2)
310184-0	31/07/2021	Tool Drawer 7D (3)	-	310184-0 / Tool Drawer 7D (3)
310185-0	31/07/2021	Tool Drawer 7D (4)	-	310185-0 / Tool Drawer 7D (4)
310186-0	31/07/2021	Handy Talky Motorola CP 1660 UHF (1)	1335VN1522	310186-0 / Handy Talky Motorola CP 1660 UHF (1)
310187-0	31/07/2021	Handy Talky Motorola CP 1660 UHF (2)	1335VN1741	310187-0 / Handy Talky Motorola CP 1660 UHF (2)
310188-0	31/07/2021	Handy Talky Motorola CP 1660 UHF (3)	1335VN1554	310188-0 / Handy Talky Motorola CP 1660 UHF (3)
310189-0	31/07/2021	Handy Talky Motorola CP 1660 UHF (4)	1335VN1753	310189-0 / Handy Talky Motorola CP 1660 UHF (4)
310190-0	31/07/2021	Handy Talky Motorola CP 1660 UHF (5)	1335VN1735	310190-0 / Handy Talky Motorola CP 1660 UHF (5)
310191-0	31/07/2021	Handy Talky Motorola CP 1660 UHF (6)	1335VN1524	310191-0 / Handy Talky Motorola CP 1660 UHF (6)
310192-0	31/07/2021	Handy Talky Motorola CP 1660 UHF (7)	1335VN1550	310192-0 / Handy Talky Motorola CP 1660 UHF (7)
310193-0	31/07/2021	Handy Talky Motorola CP 1660 UHF (8)	1335VN1518	310193-0 / Handy Talky Motorola CP 1660 UHF (8)
310194-0	31/07/2021	Rack Finger 	-	310194-0 / Rack Finger 
310195-0	30/06/2021	Work Table RC-02 (1)	-	310195-0 / Work Table RC-02 (1)
310196-0	30/06/2021	Work Table RC-02 (2)	-	310196-0 / Work Table RC-02 (2)
310197-0	30/06/2021	Single Bowl Sink Center  RC-03	-	310197-0 / Single Bowl Sink Center  RC-03
310198-0	30/06/2021	Rack 4 Tiers Wire Shelving ST-01 (1)	-	310198-0 / Rack 4 Tiers Wire Shelving ST-01 (1)
310199-0	30/06/2021	Rack 4 Tiers Wire Shelving ST-01 (2)	-	310199-0 / Rack 4 Tiers Wire Shelving ST-01 (2)
310200-0	30/06/2021	Rack 4 Tiers Wire Shelving ST-01 (3)	-	310200-0 / Rack 4 Tiers Wire Shelving ST-01 (3)
310201-0	30/06/2021	Rack 4 Tiers Wire Shelving ST-01 (4)	-	310201-0 / Rack 4 Tiers Wire Shelving ST-01 (4)
310202-0	30/06/2021	Rack 4 Tiers Wire Shelving ST-01 (5)	-	310202-0 / Rack 4 Tiers Wire Shelving ST-01 (5)
310203-0	30/06/2021	Sink Through ST-02	-	310203-0 / Sink Through ST-02
310204-0	30/06/2021	Work Table ST-05	-	310204-0 / Work Table ST-05
310205-0	30/06/2021	Work Table ST-06	-	310205-0 / Work Table ST-06
310206-0	30/06/2021	Rack 4 tiers Punch CR-03 (1)	-	310206-0 / Rack 4 tiers Punch CR-03 (1)
310207-0	30/06/2021	Rack 4 tiers Punch CR-03 (2)	-	310207-0 / Rack 4 tiers Punch CR-03 (2)
310208-0	30/06/2021	Rack 4 tiers Punch CR-03 (3)	-	310208-0 / Rack 4 tiers Punch CR-03 (3)
310209-0	30/06/2021	Rack 4 tiers Punch CR-03 (4)	-	310209-0 / Rack 4 tiers Punch CR-03 (4)
310210-0	30/06/2021	Rack 4 tiers Punch CR-04 (1)	-	310210-0 / Rack 4 tiers Punch CR-04 (1)
310211-0	30/06/2021	Rack 4 tiers Punch CR-04 (2)	-	310211-0 / Rack 4 tiers Punch CR-04 (2)
310212-0	30/06/2021	Rack 4 tiers Punch CR-04 (3)	-	310212-0 / Rack 4 tiers Punch CR-04 (3)
310213-0	30/06/2021	Rack 4 tiers Punch CR-04 (4)	-	310213-0 / Rack 4 tiers Punch CR-04 (4)
310214-0	30/06/2021	Rack 4 tiers Punch CR-05 (1)	-	310214-0 / Rack 4 tiers Punch CR-05 (1)
310215-0	30/06/2021	Rack 4 tiers Punch CR-05 (2)	-	310215-0 / Rack 4 tiers Punch CR-05 (2)
310216-0	30/06/2021	Up Right Freezer 1 Section 2 Door BU-01	-	310216-0 / Up Right Freezer 1 Section 2 Door BU-01
310217-0	30/06/2021	Work Table BU-02 (1)	-	310217-0 / Work Table BU-02 (1)
310218-0	30/06/2021	Work Table BU-02 (2)	-	310218-0 / Work Table BU-02 (2)
310219-0	30/06/2021	Work Table BU-02 (3)	-	310219-0 / Work Table BU-02 (3)
310220-0	30/06/2021	Work Table BU-02 (4)	-	310220-0 / Work Table BU-02 (4)
310221-0	30/06/2021	Work Table BU-02 (5)	-	310221-0 / Work Table BU-02 (5)
310222-0	30/06/2021	Work Table BU-02 (6)	-	310222-0 / Work Table BU-02 (6)
310223-0	30/06/2021	Single Sink Center BU-04	-	310223-0 / Single Sink Center BU-04
310224-0	30/06/2021	Food Processor BU-07	-	310224-0 / Food Processor BU-07
310225-0	30/06/2021	Meat Slicer BU-08	-	310225-0 / Meat Slicer BU-08
310226-0	30/06/2021	Meat Mincer BU-09	-	310226-0 / Meat Mincer BU-09
310227-0	30/06/2021	Knife UV Serilizer Cabinet 1 door 20 knives BU-10	-	310227-0 / Knife UV Serilizer Cabinet 1 door 20 knives BU-10
310228-0	30/06/2021	Up Right Chiller 1 Section 2 Door FS-01	-	310228-0 / Up Right Chiller 1 Section 2 Door FS-01
310229-0	30/06/2021	Work Table FS-02 (1)	-	310229-0 / Work Table FS-02 (1)
310230-0	30/06/2021	Work Table FS-02 (2)	-	310230-0 / Work Table FS-02 (2)
310231-0	30/06/2021	Work Table FS-02 (3)	-	310231-0 / Work Table FS-02 (3)
310232-0	30/06/2021	Fish Sink FS-04	-	310232-0 / Fish Sink FS-04
310233-0	30/06/2021	Single Sink Center FS-07	-	310233-0 / Single Sink Center FS-07
310234-0	30/06/2021	Up Right Chiller 1 Section 2 Door FV-01	-	310234-0 / Up Right Chiller 1 Section 2 Door FV-01
310235-0	30/06/2021	Work Table FV-02 (1)	-	310235-0 / Work Table FV-02 (1)
310236-0	30/06/2021	Work Table FV-02 (2)	-	310236-0 / Work Table FV-02 (2)
310237-0	30/06/2021	Work Table FV-02 (3)	-	310237-0 / Work Table FV-02 (3)
310238-0	30/06/2021	Work Table FV-02 (4)	-	310238-0 / Work Table FV-02 (4)
310239-0	30/06/2021	Work Table FV-02 (5)	-	310239-0 / Work Table FV-02 (5)
310240-0	30/06/2021	Work Table FV-02 (6)	-	310240-0 / Work Table FV-02 (6)
310241-0	30/06/2021	Single Sink Center FV-04	-	310241-0 / Single Sink Center FV-04
310242-0	30/06/2021	Knife UV Serilizer Cabinet 1 door 20 knives FV-07	-	310242-0 / Knife UV Serilizer Cabinet 1 door 20 knives FV-07
310243-0	30/06/2021	Work Table PW-01	-	310243-0 / Work Table PW-01
310244-0	30/06/2021	Sink Through PW-02	-	310244-0 / Sink Through PW-02
310245-0	30/06/2021	Double Sink PW-05	-	310245-0 / Double Sink PW-05
310246-0	30/06/2021	Work Table PW-07	-	310246-0 / Work Table PW-07
310247-0	30/06/2021	Rack 4 tiers Punch PW-09 (1)	-	310247-0 / Rack 4 tiers Punch PW-09 (1)
310248-0	30/06/2021	Rack 4 tiers Punch PW-10 (1)	-	310248-0 / Rack 4 tiers Punch PW-10 (1)
310249-0	30/06/2021	Rack 4 tiers Punch PW-10 (2)	-	310249-0 / Rack 4 tiers Punch PW-10 (2)
310250-0	30/06/2021	Rack 4 Tiers Wire Shelving DS-01 (1)	-	310250-0 / Rack 4 Tiers Wire Shelving DS-01 (1)
310251-0	30/06/2021	Rack 4 Tiers Wire Shelving DS-01 (2)	-	310251-0 / Rack 4 Tiers Wire Shelving DS-01 (2)
310252-0	30/06/2021	Rack 4 Tiers Wire Shelving DS-01 (3)	-	310252-0 / Rack 4 Tiers Wire Shelving DS-01 (3)
310253-0	30/06/2021	Rack 4 Tiers Wire Shelving DS-01 (4)	-	310253-0 / Rack 4 Tiers Wire Shelving DS-01 (4)
310254-0	30/06/2021	Rack 4 Tiers Wire Shelving DS-02 (1)	-	310254-0 / Rack 4 Tiers Wire Shelving DS-02 (1)
310255-0	30/06/2021	Up Right Chiller 1 Section 2 Door BV-01	-	310255-0 / Up Right Chiller 1 Section 2 Door BV-01
310256-0	30/06/2021	Work Table BV-02 (1)	-	310256-0 / Work Table BV-02 (1)
310257-0	30/06/2021	Work Table BV-02 (2)	-	310257-0 / Work Table BV-02 (2)
310258-0	30/06/2021	Work Table BV-02 (3)	-	310258-0 / Work Table BV-02 (3)
310259-0	30/06/2021	Work Table BV-02 (4)	-	310259-0 / Work Table BV-02 (4)
310260-0	30/06/2021	Work Table BV-04	-	310260-0 / Work Table BV-04
310261-0	30/06/2021	Single Sink Center BV-05	-	310261-0 / Single Sink Center BV-05
310262-0	30/06/2021	Work Table BV-08 (1)	-	310262-0 / Work Table BV-08 (1)
310263-0	30/06/2021	Work Table BV-08 (2)	-	310263-0 / Work Table BV-08 (2)
310264-0	30/06/2021	Cabinet w/Sink w/ Faucet PR-01 (1)	-	310264-0 / Cabinet w/Sink w/ Faucet PR-01 (1)
310265-0	30/06/2021	Cabinet w/Sink w/ Faucet PR-01 (2)	-	310265-0 / Cabinet w/Sink w/ Faucet PR-01 (2)
310266-0	30/06/2021	Under Counter Chiller 3 Door PR-03 (1)	-	310266-0 / Under Counter Chiller 3 Door PR-03 (1)
310267-0	30/06/2021	Under Counter Chiller 3 Door PR-03 (2)	-	310267-0 / Under Counter Chiller 3 Door PR-03 (2)
310268-0	30/06/2021	Under Counter Chiller 3 Door PR-04 (1)	-	310268-0 / Under Counter Chiller 3 Door PR-04 (1)
310269-0	30/06/2021	Under Counter Chiller 3 Door PR-04 (2)	-	310269-0 / Under Counter Chiller 3 Door PR-04 (2)
310270-0	30/06/2021	Work Table PR-05 (1)	-	310270-0 / Work Table PR-05 (1)
310271-0	30/06/2021	Work Table PR-05 (2)	-	310271-0 / Work Table PR-05 (2)
310272-0	30/06/2021	Cabinet w/Sink w/ Faucet PR-06	-	310272-0 / Cabinet w/Sink w/ Faucet PR-06
310273-0	30/06/2021	Work Table PR-08	-	310273-0 / Work Table PR-08
310274-0	30/06/2021	Under Counter Chiller 3 Door PR-09	-	310274-0 / Under Counter Chiller 3 Door PR-09
310275-0	30/06/2021	Work Table PR-10	-	310275-0 / Work Table PR-10
310276-0	30/06/2021	Work Table PR-11	-	310276-0 / Work Table PR-11
310277-0	30/06/2021	Under Counter Chiller 3 Door PR-12	-	310277-0 / Under Counter Chiller 3 Door PR-12
310278-0	30/06/2021	Work Table PR-13	-	310278-0 / Work Table PR-13
310279-0	30/06/2021	Work Table PR-14	-	310279-0 / Work Table PR-14
310280-0	30/06/2021	Single Sink Center PR-15	-	310280-0 / Single Sink Center PR-15
310281-0	30/06/2021	Gas Stock Pot 1 Burner CO-01 (1)	-	310281-0 / Gas Stock Pot 1 Burner CO-01 (1)
310282-0	30/06/2021	Gas Stock Pot 1 Burner CO-01 (2)	-	310282-0 / Gas Stock Pot 1 Burner CO-01 (2)
310283-0	30/06/2021	Gas Stock Pot 1 Burner CO-01 (3)	-	310283-0 / Gas Stock Pot 1 Burner CO-01 (3)
310284-0	30/06/2021	Gas Stock Pot 1 Burner CO-01 (4)	-	310284-0 / Gas Stock Pot 1 Burner CO-01 (4)
310285-0	30/06/2021	Standing Gas 6 Burner & Stand Table CO-02 (1)	-	310285-0 / Standing Gas 6 Burner & Stand Table CO-02 (1)
310286-0	30/06/2021	Standing Gas 6 Burner & Stand Table CO-02 (2)	-	310286-0 / Standing Gas 6 Burner & Stand Table CO-02 (2)
310287-0	30/06/2021	Spreader Table w/Solid Undershelf CO-03 (1)	-	310287-0 / Spreader Table w/Solid Undershelf CO-03 (1)
310288-0	30/06/2021	Spreader Table w/Solid Undershelf CO-03 (2)	-	310288-0 / Spreader Table w/Solid Undershelf CO-03 (2)
310289-0	30/06/2021	Standing Gas Char Broiler & Stand Table CO-04 (1)	-	310289-0 / Standing Gas Char Broiler & Stand Table CO-04 (1)
310290-0	30/06/2021	Standing Gas Char Broiler & Stand Table CO-04 (2)	-	310290-0 / Standing Gas Char Broiler & Stand Table CO-04 (2)
310291-0	30/06/2021	Standing Gas Griddle & Stand Table CO-05 (1)	-	310291-0 / Standing Gas Griddle & Stand Table CO-05 (1)
310292-0	30/06/2021	Standing Gas Griddle & Stand Table CO-05 (2)	-	310292-0 / Standing Gas Griddle & Stand Table CO-05 (2)
310293-0	30/06/2021	Spreader Table w/Solid Undershelf CO-06 (1)	-	310293-0 / Spreader Table w/Solid Undershelf CO-06 (1)
310294-0	30/06/2021	Spreader Table w/Solid Undershelf CO-06 (2)	-	310294-0 / Spreader Table w/Solid Undershelf CO-06 (2)
310295-0	30/06/2021	Deep Fryer CO-07 (1)	-	310295-0 / Deep Fryer CO-07 (1)
310296-0	30/06/2021	Deep Fryer CO-07 (2)	-	310296-0 / Deep Fryer CO-07 (2)
310297-0	30/06/2021	Deep Fryer CO-07 (3)	-	310297-0 / Deep Fryer CO-07 (3)
310298-0	30/06/2021	Deep Fryer CO-07 (4)	-	310298-0 / Deep Fryer CO-07 (4)
310299-0	30/06/2021	Combi Oven Mood Ex Italy CO-08 (1)	-	310299-0 / Combi Oven Mood Ex Italy CO-08 (1)
310300-0	30/06/2021	Combi Oven Mood Ex Italy CO-08 (2)	-	310300-0 / Combi Oven Mood Ex Italy CO-08 (2)
310301-0	30/06/2021	Gas Wok Range Low Pressure CO-09 (1)	-	310301-0 / Gas Wok Range Low Pressure CO-09 (1)
310302-0	30/06/2021	Gas Wok Range Low Pressure CO-09 (2)	-	310302-0 / Gas Wok Range Low Pressure CO-09 (2)
310303-0	30/06/2021	Gas Tilting Bratt Pan Cap 80 Litre CO-10 (1)	-	310303-0 / Gas Tilting Bratt Pan Cap 80 Litre CO-10 (1)
310304-0	30/06/2021	Gas Tilting Bratt Pan Cap 80 Litre CO-10 (2)	-	310304-0 / Gas Tilting Bratt Pan Cap 80 Litre CO-10 (2)
310305-0	30/06/2021	Gas Boiling Pan Cap 100 Litre CO-11 (1)	-	310305-0 / Gas Boiling Pan Cap 100 Litre CO-11 (1)
310306-0	30/06/2021	Gas Boiling Pan Cap 100 Litre CO-11 (2)	-	310306-0 / Gas Boiling Pan Cap 100 Litre CO-11 (2)
310307-0	30/06/2021	Gas Rice Cooker 3 Deck CO-12 (1)	-	310307-0 / Gas Rice Cooker 3 Deck CO-12 (1)
310308-0	30/06/2021	Gas Rice Cooker 3 Deck CO-12 (2)	-	310308-0 / Gas Rice Cooker 3 Deck CO-12 (2)
310309-0	30/06/2021	Exhaust Hood Island Mounted CO-13	-	310309-0 / Exhaust Hood Island Mounted CO-13
310310-0	30/06/2021	Exhaust Hood Island Mounted CO-14	-	310310-0 / Exhaust Hood Island Mounted CO-14
310311-0	30/06/2021	Work Table PU-01 (1)	-	310311-0 / Work Table PU-01 (1)
310312-0	30/06/2021	Work Table PU-01 (2)	-	310312-0 / Work Table PU-01 (2)
310313-0	30/06/2021	Work Table PU-01 (3)	-	310313-0 / Work Table PU-01 (3)
310314-0	30/06/2021	Work Table PU-01 (4)	-	310314-0 / Work Table PU-01 (4)
310315-0	30/06/2021	Work Table PU-01 (5)	-	310315-0 / Work Table PU-01 (5)
310316-0	30/06/2021	Work Table PU-01 (6)	-	310316-0 / Work Table PU-01 (6)
310317-0	30/06/2021	Hot Cabinet for Trolley Service PU-02 (1)	-	310317-0 / Hot Cabinet for Trolley Service PU-02 (1)
310318-0	30/06/2021	Hot Cabinet for Trolley Service PU-02 (2)	-	310318-0 / Hot Cabinet for Trolley Service PU-02 (2)
310319-0	30/06/2021	Hot Cabinet for Trolley Service PU-02 (3)	-	310319-0 / Hot Cabinet for Trolley Service PU-02 (3)
310320-0	30/06/2021	Hot Cabinet for Trolley Service PU-02 (4)	-	310320-0 / Hot Cabinet for Trolley Service PU-02 (4)
310321-0	30/06/2021	Hot Cabinet for Trolley Service PU-02 (5)	-	310321-0 / Hot Cabinet for Trolley Service PU-02 (5)
310322-0	30/06/2021	Trolley for Service Food Pan PU-03	-	310322-0 / Trolley for Service Food Pan PU-03
310323-0	30/06/2021	Soiled Dish Table DW-01	-	310323-0 / Soiled Dish Table DW-01
310324-0	30/06/2021	Clean Dish Table DW-06	-	310324-0 / Clean Dish Table DW-06
310325-0	30/06/2021	Soiled Dish Table DW-08	-	310325-0 / Soiled Dish Table DW-08
310326-0	30/06/2021	Clean Dish Table DW-13	-	310326-0 / Clean Dish Table DW-13
310327-0	30/06/2021	Rack 4 tiers Punch DW-15 (1)	-	310327-0 / Rack 4 tiers Punch DW-15 (1)
310328-0	30/06/2021	Rack 4 tiers Punch DW-15 (2)	-	310328-0 / Rack 4 tiers Punch DW-15 (2)
310329-0	30/06/2021	Work Table DW-16	-	310329-0 / Work Table DW-16
310330-0	30/06/2021	Rack 4 tiers Punch DW-17 (1)	-	310330-0 / Rack 4 tiers Punch DW-17 (1)
310331-0	30/06/2021	Rack 4 tiers Punch DW-17 (2)	-	310331-0 / Rack 4 tiers Punch DW-17 (2)
310332-0	30/06/2021	Rack 4 tiers Punch DW-17 (3)	-	310332-0 / Rack 4 tiers Punch DW-17 (3)
310333-0	30/06/2021	Rack 4 tiers Punch DW-17 (4)	-	310333-0 / Rack 4 tiers Punch DW-17 (4)
310334-0	30/06/2021	Rack 4 tiers Punch DW-17 (5)	-	310334-0 / Rack 4 tiers Punch DW-17 (5)
310335-0	30/06/2021	Rack 4 tiers Punch DW-17 (6)	-	310335-0 / Rack 4 tiers Punch DW-17 (6)
310336-0	30/06/2021	Rack 4 tiers Punch DW-17 (7)	-	310336-0 / Rack 4 tiers Punch DW-17 (7)
310337-0	30/06/2021	Rack 4 tiers Punch DW-18	-	310337-0 / Rack 4 tiers Punch DW-18
310338-0	30/06/2021	Trolley Food Cabinet DT-03 (1)	-	310338-0 / Trolley Food Cabinet DT-03 (1)
310339-0	30/06/2021	Trolley Food Cabinet DT-03 (2)	-	310339-0 / Trolley Food Cabinet DT-03 (2)
310340-0	30/06/2021	Trolley Food Cabinet DT-03 (3)	-	310340-0 / Trolley Food Cabinet DT-03 (3)
310341-0	30/06/2021	Trolley Food Cabinet DT-03 (4)	-	310341-0 / Trolley Food Cabinet DT-03 (4)
